VEP Annotation	Grouped Annotation	Priority	Coding
transcript_ablation	Copy Number	1	0
splice_acceptor_variant	Splice/Start/Stop Gain/Loss	2	1
splice_donor_variant	Splice/Start/Stop Gain/Loss	3	1
stop_gained	Splice/Start/Stop Gain/Loss	4	1
frameshift_variant	Splice/Start/Stop Gain/Loss	5	1
stop_lost	Splice/Start/Stop Gain/Loss	6	1
start_lost	Splice/Start/Stop Gain/Loss	7	1
transcript_amplification	Copy Number	8	0
inframe_insertion	Missense	9	1
inframe_deletion	Missense	10	1
missense_variant	Missense	11	1
protein_altering_variant	Missense	12	1
splice_region_variant	Splice/Start/Stop Gain/Loss	13	1
splice_donor_5th_base_variant	Splice/Start/Stop Gain/Loss	14	1
splice_donor_region_variant	Splice/Start/Stop Gain/Loss	15	1
splice_polypyrimidine_tract_variant	Splice/Start/Stop Gain/Loss	16	1
incomplete_terminal_codon_variant	Splice/Start/Stop Gain/Loss	17	1
start_retained_variant	Splice/Start/Stop Gain/Loss	18	1
stop_retained_variant	Splice/Start/Stop Gain/Loss	19	1
synonymous_variant	Synonymous	20	1
coding_sequence_variant	Synonymous	21	1
mature_miRNA_variant	Mature miRNA	22	0
5_prime_UTR_variant	3/5 prime UTR	23	0
3_prime_UTR_variant	3/5 prime UTR	24	0
non_coding_transcript_exon_variant	Non-Coding Exon	25	0
intron_variant	Intron	26	0
NMD_transcript_variant	Non-Coding Exon	27	0
non_coding_transcript_variant	Non-Coding Exon	28	0
upstream_gene_variant	Non-Gene Unknown	29	0
downstream_gene_variant	Non-Gene Unknown	30	0
TFBS_ablation	TF Binding Site	31	0
TFBS_amplification	TF Binding Site	32	0
TF_binding_site_variant	TF Binding Site	33	0
regulatory_region_ablation	Regulatory Region	34	0
regulatory_region_amplification	Regulatory Region	35	0
feature_elongation	Non-Gene Unknown	36	0
regulatory_region_variant	Regulatory Region	37	0
feature_truncation	Non-Gene Unknown	38	0
intergenic_variant	Non-Gene Unknown	39	0
